curveID,curveName,ModelID,response,Weight,pillar,campaignproduct,mediagroup,type,alpha,beta
1,seasonalchristmasTelevision,4,ST,1,seasonal,christmas,Television,tanh,"230,115,656","12,030,716"
2,qualityfoodfoodthreezeroTelevision,8,ST,1,qualityfood,foodthreezero,Television,tanh,"72,329,704","8,537,504"
3,fairpricesccptPrint,2,ST,1,fairprices,ccpt,Print,tanh,"225,839","2,573,813"
4,fairpricesccptDigital display,2,ST,1,fairprices,ccpt,Digital display,tanh,"63,497,358","1,767,759"
5,fairpricesccthreezeroTelevision,3,ST,1,fairprices,ccthreezero,Television,tanh,"69,587,031","3,443,129"
6,fairpricesccpTelevision,1,ST,1,fairprices,ccp,Television,tanh,"130,045,800","3,604,787"
7,fairpricesttvTelevision,10,ST,1,fairprices,ttv,Television,tanh,"71,994,737","2,401,179"
8,seasonalchristmasPrint,4,ST,1,seasonal,christmas,Print,tanh,"346,720","2,265,499"
9,qualityfoodfinestTelevision,7,ST,1,qualityfood,finest,Television,tanh,"84,851,465","1,464,299"
10,seasonalchristmasVideo,4,ST,1,seasonal,christmas,Video,tanh,"14,668,959","10,477,817"
11,qualityfoodfoodthreezeroOut of home,8,ST,1,qualityfood,foodthreezero,Out of home,tanh,"147,294","2,962,382"
12,fairpricesccthreezeroTV sponsorship,3,ST,1,fairprices,ccthreezero,TV sponsorship,tanh,"12,348,492","2,209,348"
13,fairpricesccthreezeroVideo,3,ST,1,fairprices,ccthreezero,Video,tanh,"5,095,854","1,890,664"
14,qualityfoodfoodthreezeroVideo,8,ST,1,qualityfood,foodthreezero,Video,tanh,"6,025,002","2,329,865"
15,seasonalchristmasDigital display,4,ST,1,seasonal,christmas,Digital display,tanh,"94,882,623","1,504,443"
16,seasonalchristmasPaid social,4,ST,1,seasonal,christmas,Paid social,tanh,"132,767,086","2,839,121"
17,otherotherPaid social,11,ST,1,other,other,Paid social,tanh,"58,003,146","2,196,543"
18,fairpricesccpRadio sponsorship,1,ST,1,fairprices,ccp,Radio sponsorship,tanh,"37,603,432","1,531,308"
19,fairpricesccptPaid social,2,ST,1,fairprices,ccpt,Paid social,tanh,"36,312,895","1,799,225"
20,qualityfooddftfreefromrootsoulfinestaoPaid social,5,ST,1,qualityfood,dftfreefromrootsoulfinestao,Paid social,tanh,"8,943,935","693,865"
21,seasonalchristmasOut of home,4,ST,1,seasonal,christmas,Out of home,tanh,"259,874","4,135,241"
22,fairpricesccpVideo,1,ST,1,fairprices,ccp,Video,tanh,"7,921,377","1,723,480"
23,seasonaleasterTelevision,6,ST,1,seasonal,easter,Television,tanh,"113,884,277","22,596,672"
24,otherotherOut of home,11,ST,1,other,other,Out of home,tanh,"131,542","1,532,446"
25,qualityfoodfinestVideo,7,ST,1,qualityfood,finest,Video,tanh,"5,939,415","991,702"
26,fairpricesttvPaid social,10,ST,1,fairprices,ttv,Paid social,tanh,"25,256,317","1,357,272"
27,fairpricesccthreezeroPaid social,3,ST,1,fairprices,ccthreezero,Paid social,tanh,"52,371,944","1,391,211"
28,fairpricespricecutsTelevision,9,ST,1,fairprices,pricecuts,Television,tanh,"95,439,229","3,478,415"
29,qualityfooddftfreefromrootsoulfinestaoDigital display,5,ST,1,qualityfood,dftfreefromrootsoulfinestao,Digital display,tanh,"23,941,447","687,325"
30,fairpricesttvVideo,10,ST,1,fairprices,ttv,Video,tanh,"5,834,393","1,344,613"
31,otherotherDigital display,11,ST,1,other,other,Digital display,tanh,"10,662,168","1,011,552"
32,qualityfooddftfreefromrootsoulfinestaoInfluencer,5,ST,1,qualityfood,dftfreefromrootsoulfinestao,Influencer,tanh,"3,049,755","622,560"
33,qualityfoodfinestOut of home,7,ST,1,qualityfood,finest,Out of home,tanh,"187,983","1,496,616"
34,qualityfoodfinestDigital display,7,ST,1,qualityfood,finest,Digital display,tanh,"3,303,809","583,789"
35,fairpricesccthreezeroOut of home,3,ST,1,fairprices,ccthreezero,Out of home,tanh,"98,943","1,575,901"
36,otherotherPrint,11,ST,1,other,other,Print,tanh,"118,076","810,782"
37,qualityfoodfoodthreezeroPaid social,8,ST,1,qualityfood,foodthreezero,Paid social,tanh,"28,177,216","1,121,345"
38,qualityfoodfoodthreezeroDigital display,8,ST,1,qualityfood,foodthreezero,Digital display,tanh,"5,316,977","1,085,229"
39,fairpricespricecutsPrint,9,ST,1,fairprices,pricecuts,Print,tanh,"150,124","753,018"
40,fairpricesccpAudio,1,ST,1,fairprices,ccp,Audio,tanh,"2,696,149","770,906"
41,seasonaleasterVideo,6,ST,1,seasonal,easter,Video,tanh,"7,624,941","3,658,932"
42,qualityfoodfinestPrint,7,ST,1,qualityfood,finest,Print,tanh,"59,287","940,765"
43,fairpricesccptOut of home,2,ST,1,fairprices,ccpt,Out of home,tanh,"114,084","1,869,781"
44,fairpricesccthreezeroDigital display,3,ST,1,fairprices,ccthreezero,Digital display,tanh,"9,295,502","1,033,650"
45,qualityfoodfoodthreezeroRadio,8,ST,1,qualityfood,foodthreezero,Radio,tanh,"49,707,668","873,373"
46,qualityfoodfoodthreezeroPrint,8,ST,1,qualityfood,foodthreezero,Print,tanh,"38,450","666,607"
47,qualityfooddftfreefromrootsoulfinestaoAudio,5,ST,1,qualityfood,dftfreefromrootsoulfinestao,Audio,tanh,"2,715,780","589,434"
48,fairpricesccpOut of home,1,ST,1,fairprices,ccp,Out of home,tanh,"63,525","1,108,993"
49,fairpricesccpDigital display,1,ST,1,fairprices,ccp,Digital display,tanh,"26,466,117","1,415,489"
50,fairpricesccthreezeroPrint,3,ST,1,fairprices,ccthreezero,Print,tanh,"109,301","879,745"
